"","Film","Released_Year","Released_month","Director","Cast_1","Cast_2","Genre_1","Genre_2","IMDB_Ratings","IMDB_Users","Budget_in_crore.INR.","Worldwide_box_office_gross_in_crore.INR."
"409","Thugs Of Hindostan",2018,"November","Vijay Krishna Acharya","Amitabh Bachchan","Aamir Khan","Action","Thriller",4,19352,310,"245.09"
"415","Zero",2018,"December","Anand L Rai","Shahrukh Khan","Anushka Sharma","Action","Comedy",5.2,27174,270,"191.44"
"676","83 (2021)",2021,"December","Kabir Khan","Ranveer Singh"," Jeeva","Biography","Drama",7.7,31683,260,"186.97"
"674","Sooryavanshi",2021,"November","Rohit Shetty","Akshay Kumar"," Katrina Kaif","Action","Thriller",6.9,74999,250,"298.84"
"485","Bharat",2019,"June","Ali Abbas Zafar","Salman Khan"," Katrina Kaif","Action","Adventure",4.7,30606,240,"308.70"
"291","Padmaavat",2018,"January","Sanjay Leela Bhansali","Deepika Padukone","Ranveer Singh","Drama","",7,31272,215,"545.93"
"278","Tiger Zinda Hai",2017,"December","Ali Abbas Zafar","Salman Khan","Katrina Kaif","Action","",5.9,28510,210,"565.10"
"524","War",2019,"October","Siddharth Anand","Hrithik Roshan"," Tiger Shroff","Action","Drama",6.5,23816,205,"442.42"
"344","Race 3",2018,"June","Remo DSouza","Salman Khan","Jacqueline Fernandez","Action","Thriller",1.9,45962,185,"305.16"
"65","Prem Ratan Dhan Payo",2015,"November","Sooraj Barjatya","Salman Khan","Sonam Kapoor","Drama","",4.5,21791,180,"365.45"
"540","Dabangg 3",2019,"December","Prabhu Deva","Salman Khan"," Sudeep","Action","Comedy",3,18585,178,"217.85"
"552","Tanhaji: The Unsung Warrior",2020,"January","Om Raut","Ajay Devgn"," Saif Ali Khan","Drama","War",7.6,28560,172,"361.78"
"646","Bell Bottom",2021,"August","Ranjit M Tewari","Akshay Kumar"," Vaani Kapoor","Action","Drama",6.3,21882,168,"53.29"
"69","Dilwale",2015,"December","Rohit Shetty","Shahrukh Khan","Kajol","Action","Romance",5.1,34213,165,"372.23"
"511","Housefull 4",2019,"October","Farhad Samji","Akshay Kumar"," Kriti Sanon","Comedy","Drama",3.5,12474,162,"294.80"
"68","Bajirao Mastani",2015,"December","Sanjay Leela Bhansali","Ranveer Singh","Deepika Padukone","Drama","",7.3,34169,145,"356.20"
"130","Sultan",2016,"July","Ali Abbas Zafar","Salman Khan","Randeep Hooda","Sports","",7.1,45224,145,"577.29"
"257","Golmaal Again",2017,"October","Rohit Shetty","Ajay Devgn","Tabu","Comedy","",4.9,9210,142,"311.05"
"414","Simmba",2018,"December","Rohit Shetty","Ranveer Singh","Sara Ali Khan","Comedy","Romance",5.7,23270,139,"391.68"
"135","Mohenjo Daro",2016,"August","Ashutosh Gowariker","Hrithik Roshan","Pooja Hegde","Drama","",5.7,11588,138,"104.08"
"461","Kalank",2019,"April","Abhishek Varman","Madhuri Dixit"," Sonakshi Sinha","Action","Drama",3.4,16514,137,"145.51"
"215","Tubelight",2017,"June","Kabir Khan","Salman Khan","Sohail Khan","Drama","War",4.1,20014,135,"207.99"
"173","Dangal",2016,"December","Nitesh Tiwari","Aamir Khan","Sakshi Tanwar","Biography","",8.4,181817,132,"702.48"
"228","Jagga Jasoos",2017,"July","Anurag Basu","Ranbir Kapoor","Katrina Kaif","Action","",6.4,10156,131,"86.86"
"648","Bhuj The Pride Of India",2021,"August","Abhishek Dudhaiya","Ajay Devgn"," Sanjay Dutt","Drama","",5.4,24217,130,"null"
"177","Raees",2017,"January","Rahul Dholakia","Shahrukh Khan","Mahira Khan","Drama","",6.8,43782,127,"272.52"
"450","Kesari",2019,"March","Anurag Singh","Akshay Kumar"," Parineeti Chopra","Drama","War",7.4,19383,126,"201.30"
"37","Bajrangi Bhaijaan",2015,"July","Kabir Khan","Salman Khan","Kareena Kapoor","Action","Drama",8.1,84768,125,"603.99"
"102","Fan",2016,"April","Maneesh Sharma","Shahrukh Khan","Shriya Pilgaonkar","Drama","",7,45180,120,"188.00"
"491","Super 30",2019,"July","Vikas Bahl","Hrithik Roshan"," Pankaj Tripathi","Biography","Drama",7.9,29804,120,"205.35"
"239","Jab Harry Met Sejal",2017,"August","Imtiaz Ali","Shahrukh Khan","Anushka Sharma","Comedy","Romance",5,20482,119,"147.76"
"27","Bombay Velvet",2015,"May","Anurag Kashyap","Ranbir Kapoor","Anushka Sharma","Thriller","",5.5,5932,118,"43.14"
